iter	Passed	Remaining
874	6597	942
875	6605	935
876	6612	927
877	6619	919
878	6625	912
879	6631	904
880	6640	896
881	6646	889
882	6654	881
883	6661	874
884	6667	866
885	6675	858
886	6680	851
887	6688	843
888	6694	835
889	6702	828
890	6708	820
891	6714	813
892	6722	805
893	6728	797
894	6737	790
895	6743	782
896	6751	775
897	6757	767
898	6764	759
899	6772	752
900	6779	744
901	6787	737
902	6793	729
903	6802	722
904	6809	714
905	6818	707
906	6825	699
907	6833	692
908	6840	684
909	6849	677
910	6855	669
911	6862	662
912	6869	654
913	6875	646
914	6883	639
915	6906	633
916	6918	626
917	6925	618
918	6934	611
919	6940	603
920	6947	595
921	6953	588
922	6958	580
923	6966	572
924	6972	565
925	6980	557
926	6986	550
927	6991	542
928	6999	534
929	7005	527
930	7012	519
931	7018	512
932	7025	504
933	7034	497
934	7039	489
935	7048	481
936	7053	474
937	7060	466
938	7066	459
939	7072	451
940	7080	443
941	7088	436
942	7096	428
943	7101	421
944	7108	413
945	7115	406
946	7120	398
947	7128	391
948	7133	383
949	7139	375
950	7145	368
951	7152	360
952	7160	353
953	7165	345
954	7171	337
955	7178	330
956	7185	322
957	7193	315
958	7199	307
959	7205	300
960	7211	292
961	7217	285
962	7224	277
963	7230	270
964	7235	262
965	7243	254
966	7248	247
967	7255	239
968	7261	232
969	7268	224
970	7277	217
971	7282	209
972	7289	202
973	7294	194
974	7299	187
975	7307	179
976	7312	172
977	7317	164
978	7324	157
979	7331	149
980	7338	142
981	7344	134
982	7349	127
983	7356	119
984	7361	112
985	7366	104
986	7372	97
987	7378	89
988	7384	82
989	7389	74
990	7394	67
991	7400	59
992	7408	52
993	7413	44
994	7421	37
995	7429	29
996	7437	22
997	7443	14
998	7449	7
999	7455	0
